"BehaviorSpace results (NetLogo 6.1.1)"
"YBC_Continuous_Breeding_20210422_agerepro.nlogo"
"single_run_continuous_breeding"
"04/22/2021 10:43:12:247 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","within-group.contact","infection-length","group-size","rnot","age-repro","virulence","immunity-barrier","clan-number","between-group.contact","survival","fertility","frequency_transmission","fission","[step]","abundance","sealed","open","protected","nonprot","locked","count hyenas with [disease = ""infected""]","count hyenas with [disease = ""infected"" AND age > age-repro]","count hyenas with [disease = ""infected"" AND age <= age-repro]","count hyenas with [disease = ""recovered"" AND age > age-repro]","count hyenas with [disease = ""recovered"" AND age <= age-repro]","count hyenas with [disease = ""susceptible"" AND age > age-repro]","count hyenas with [disease = ""susceptible"" AND age <= age-repro]"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","61","613","20","0","10.882499716151536","0","0.4809557403902282","8","0","8","179","180","0","246"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","67","621","20","0","6.827621752995907","0","0.6925428537950765","64","0","64","231","195","0","131"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","62","620","20","0","11.114641819294189","0","0.46831569605480194","9","0","9","181","176","0","254"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","68","625","20","0","7.03403285628686","0","0.6829254998754107","60","0","60","233","194","0","138"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","69","627","20","0","6.568421178977085","0","0.7057252160449162","63","0","63","233","199","0","132"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","63","624","20","0","11.259782852058555","0","0.46042664219981233","7","0","7","181","175","0","261"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","70","626","20","0","6.304934691267812","0","0.7200395262388553","66","0","66","235","199","0","126"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","64","626","20","0","11.329510453243955","0","0.4565458094477927","4","0","4","181","177","0","264"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","71","626","20","0","6.221469810382853","0","0.7249284857928","68","0","68","237","200","0","121"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","65","631","20","0","11.402328754807298","0","0.4527108527320247","3","0","3","179","178","0","271"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","66","637","20","0","11.593526574381332","0","0.44295921391753457","2","0","2","182","175","0","278"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","72","623","20","0","5.375382989330356","0","0.7674772748231222","82","0","82","240","196","0","105"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","73","621","20","0","5.79984060390037","0","0.7483818335461377","75","0","75","240","196","0","110"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","67","649","20","0","11.828007710679888","0","0.4307475751618822","0","0","0","182","177","0","290"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","74","619","20","0","5.41922655775597","0","0.7664577637895085","76","0","76","240","199","0","104"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","68","659","20","0","12.00480969747099","0","0.42129689388454483","0","0","0","182","176","0","301"
"1","0.1","10","50","10","104","0.1","1","20","0.01","0.9","0.05","true","false","75","618","20","0","5.131501981573139","0","0.7817477891108185","76","0","76","240","200","0","102"
"2","0.1","10","50","10","104","0.1","52","20","0.01","0.9","0.05","true","false","69","667","20","0","12.17316517636947","0","0.41240658587575396","0","0","0","184","174","0","309"
